library_name,library_lat,library_lon,open_time,close_time
Main,38.24439,-85.75786,09:00:00 AM,09:00:00 PM
Bon Air,38.21504,-85.65518,09:00:00 AM,09:00:00 PM
Crescent Hill,38.25463,-85.69113,10:00:00 AM,09:00:00 PM
Fairdale,38.1061,-85.76062,10:00:00 AM,08:00:00 PM
Highlands,38.2346,-85.718,10:00:00 AM,09:00:00 PM
Iroquois,38.18248,-85.7716,10:00:00 AM,09:00:00 PM
Middletown,38.24416,-85.52325,10:00:00 AM,09:00:00 PM
Jeffersontown,38.19767,-85.56118,10:00:00 AM,09:00:00 PM
Newburg,38.18127,-85.67052,10:00:00 AM,09:00:00 PM
Northeast,38.26861,-85.5765,09:00:00 AM,09:00:00 PM
Portland,38.27525,-85.80126,10:00:00 AM,08:00:00 PM
St. Matthews,38.249,-85.64918,10:00:00 AM,09:00:00 PM
Shawnee,38.25001,-85.8172,10:00:00 AM,09:00:00 PM
Shively,38.19529,-85.8068,10:00:00 AM,09:00:00 PM
South Central,38.14464,-85.67587,09:00:00 AM,09:00:00 PM
Southwest,38.11413,-85.85947,09:00:00 AM,09:00:00 PM
Western,38.24982,-85.76801,10:00:00 AM,08:00:00 PM
